"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","241","Test cancel on basic auth","chromium","Wed Jul 16 14:47:38 UTC 2025","passed","Wed Jul 16 14:47:38 UTC 2025","Site Operations Tests","TC01.spec.ts","",""
"","448","Test Add/Remove Elements","chromium","Wed Jul 16 14:47:36 UTC 2025","passed","Wed Jul 16 14:47:36 UTC 2025","Site Operations Tests","TC01.spec.ts","",""
"","627","Test Broken Images","chromium","Wed Jul 16 14:47:38 UTC 2025","passed","Wed Jul 16 14:47:39 UTC 2025","Site Operations Tests","TC01.spec.ts","",""
"","408","Test login with basic auth","chromium","Wed Jul 16 14:47:37 UTC 2025","passed","Wed Jul 16 14:47:38 UTC 2025","Site Operations Tests","TC01.spec.ts","",""
